Item,Invoice_ID,Quantity,Price,Sanctuary_ID,Emp_ID
KEPsvmoxQHyjBjUw,7051003730,9,146655.92986965989,10,zvELYyVdr88
GPOadSXiIin,203580571,3,22591.226826717917,19,ncQfTdP68
COYsksNNqbnx,9935330482,6,222366.4344780915,58,qltTOpb95
ArspUGODUi,4811938793,4,180617.726916478,14,FjVnY90
VufHuWyZlXYA,4776541294,6,272050.93989641045,25,SflpP67
jZAEBbVeXVAWUQhgd,59081035,9,649329.9397290912,71,FrEbeQ36
WYFuJCVGpdsVAnpRg,018926846,9,291089.9865334107,34,ghsDr87
ArspUGODUi,283600217,6,270926.59037471697,15,jPAcUsxw56
TINuxnBeoUHwSyuFNk,613628,3,219142.48587856314,96,prmAqQs41
urVWuMAsqICZYNMB,768619509,8,749934.68898968,64,LeJVSM96
dnCVhLMvOOOhWivM,98924327810,6,44629.48344720769,98,akpHvbsb7
tXdwFzNLyEhtqE,6399416411,9,108504.18636391418,80,lkcSYgD4
EVLfwAMmanluSvq,20810078912,1,24465.09065458235,72,prmAqQs41
HUhOEBfdflouTSL,6499613,8,677005.4871003684,79,VVEaZPJMw77
tDofkzVjTrW,87191105214,7,509962.7232388661,58,LQCDp13
OndFDhWHqLrMiTPD,65626515,5,472813.1398505904,59,NcjIV35
GPOadSXiIin,2924516,3,22591.226826717917,33,GGIrIOv66
lbctFLdTRXBSwnxQrQa,526269017,5,275350.6470704649,47,jKJAkjLW98
urVWuMAsqICZYNMB,20501200918,3,281225.50837113,28,HhqAKiCtY55
RZGQmSmUCIYxVjLf,6998640019,7,12504.08500815569,33,JBGZAiBE97
jwfJIdAmXuV,6734520,2,141517.36666543497,9,voafz79
KBkzvfxrVLEYEkx,82690411021,8,27349.33580155487,27,bAOMWiFGH6
izGPGLZKXkSq,30125022,5,362372.6127702467,58,LzzaH57
TdZrkhtkORxVdaSBOt,9313105223,4,220111.59725827829,2,bAOMWiFGH6
cjOQzcWjhRw,57594124,5,103581.1656171447,36,VVEaZPJMw77
UQDhAawhMgCTUQk,24441440325,7,84704.16123962449,7,mUWmoeQ0
cBHclmrXIXrnRY,51670626,7,289618.63286681083,55,jKJAkjLW98
sDzxcMqfyes,5244427,4,343843.005312922,54,BvJlgZPO85
GfNaGMOkOjdIwQ,8245582428,1,74003.3578751945,55,VVEaZPJMw77
uDRLzRpHaRsI,4533677329,5,104153.44049353384,46,ibnzlgc45
sBNalGDvRT,9291230,2,17513.52877187693,18,lkWrOCuW94
VufHuWyZlXYA,7284189331,1,45341.82331606841,83,jPAcUsxw56
TKPPHwzRGWSCs,5829977832,8,462585.48032950907,7,UJivDa58
MaKvzTlKzLSAnTUg,29612926133,3,299293.34650364553,70,mhjvZcGzy5
sUPKQXEcNFILAxpxxsd,0776734,8,455982.4697396147,12,FSDuGxmK43
LkLhnXrFwnkNTc,0269719835,8,457954.3821610809,73,QQzYgU53
linnzMXDNZMqAr,049906536,7,143726.60519561725,74,mUWmoeQ0
cBHclmrXIXrnRY,68005352837,8,330992.72327635525,8,lkWrOCuW94
GPOadSXiIin,6716738,6,45182.453653435834,29,KgkAj39
MJwZeKcWrl,796620739,6,393637.8326512885,79,HKaUdL25
GPOadSXiIin,982244740,7,52712.86259567514,64,GGIrIOv66
FqCNoGwuDDNGlYRFUJ,3728088841,3,39542.61186526578,38,nlCacOAy28
FoUYgWyczOzNWBN,49241842,4,215155.16057178387,84,mxcIAbD72
rFzfYeadFKUw,1696123643,4,21463.931667403012,14,OCTEwboA30
vpqRGEcoGPogYIXlmt,0229044,3,84051.53943964896,7,PDSCD42
TdZrkhtkORxVdaSBOt,207662645,8,440223.19451655657,44,tFugUYv1
sDzxcMqfyes,1502190146,8,687686.010625844,50,tFugUYv1
UihiryNZVm,25561547,9,846493.2388841221,31,VVEaZPJMw77
TdZrkhtkORxVdaSBOt,3650948,4,220111.59725827829,52,lkWrOCuW94
mRrlTsmNvpK,6987565649,1,62693.44101096872,9,FrEbeQ36
sxfBDUeXusPhcMX,463651350,3,206869.45889914894,14,XsxbTk69
ifPATQFVzhhfTtNS,8855726151,1,78324.9376437342,17,YlHnnjG40
hfsQubJceFuJgg,29422852,8,39712.79654101107,25,ODyEh74
gQVhhwWYkVPZ,70109653,2,162948.6288215891,49,SZHlB47
ArspUGODUi,73954553354,6,270926.59037471697,57,rrmqrM2
FqCNoGwuDDNGlYRFUJ,2879247055,3,39542.61186526578,60,qQiKv12
hEtvEdRlzBog,461136056,6,581873.113912196,2,tDmgwgJLN23
VDHYlLGmvUuGLWi,43576849757,1,19635.021174705165,34,vlHhoYt44
TKPPHwzRGWSCs,0781901658,2,115646.37008237727,14,tFugUYv1
MaKvzTlKzLSAnTUg,40272166659,1,99764.44883454852,50,KgkAj39
DnzADGDCwTSt,299305860,6,530006.5091773899,80,tFugUYv1
ptFZKmoBsQFCgByb,78369861,4,349942.9464505393,10,SZHlB47
DnzADGDCwTSt,4397062,9,795009.7637660848,65,vlHhoYt44
urVWuMAsqICZYNMB,7076563,1,93741.83612371,81,PosGmYhor70
iwOHtzSLGW,2149661664,5,173058.41324761507,19,VVEaZPJMw77
PKYaWSPfNoLDLg,25529565,5,488866.2289216082,6,Hzxdsi29
EVLfwAMmanluSvq,144635766,9,220185.81589124113,11,FjVnY90
NZoKmTZIkvsE,11286767,3,118081.92185565365,27,JBGZAiBE97
qfGDxpjmwIaSQUAufA,6620568,6,249262.23357849082,60,mxcIAbD72
COYsksNNqbnx,69567369,2,74122.1448260305,87,RnurL83
PKYaWSPfNoLDLg,6597905070,7,684412.7204902514,42,xJdSPO48
uzLKqhpFnzdc,2139471,5,136905.92625552195,21,XbqUjnYtL46
ifPATQFVzhhfTtNS,0027983272,7,548274.5635061394,19,ZplXMS54
RZGQmSmUCIYxVjLf,9473673,2,3572.595716615911,95,KgkAj39
LcTRrdhDkdnXtzXTP,47338174,4,293070.3618172205,26,hENnLB51
rSdhYvKRwVowJ,5460574975,7,429538.4800550678,36,FjVnY90
qfGDxpjmwIaSQUAufA,8629576,2,83087.41119283027,64,akpHvbsb7
NZoKmTZIkvsE,74060177,4,157442.56247420487,8,nlCacOAy28
ArspUGODUi,8820768178,1,45154.4317291195,9,DOgye73
FqCNoGwuDDNGlYRFUJ,6468079,5,65904.3531087763,47,jUTOw78
fhFrxbMBCXwuGCfkqw,8974219680,8,154396.52776651064,28,QkaUt38
sDzxcMqfyes,349869681,9,773646.7619540745,7,vlHhoYt44
JAAuCZakzJIL,90067082,1,85328.5382420338,63,QkQVVRkt64
wbQpkapXEzMGhGJjuot,70370721583,6,512799.21825154114,26,FrEbeQ36
ArspUGODUi,2640184,3,135463.29518735848,31,hENnLB51
TwYMLcLbmNkM,0840838585,3,135375.27329789894,88,qtIdph37
JOUqUdOyLEnqsFjtX,51184889086,2,120689.5402852715,53,vlHhoYt44
njraQxgpajuymknlvIe,36665487,3,135506.1876960717,80,RahtnkZ34
TzcrEwrzFN,82656088,2,193993.4354823307,97,DDjMsM60
qQvfGwxKiSBf,933181389,7,578457.3795949128,70,JBGZAiBE97
MaKvzTlKzLSAnTUg,88921308190,3,299293.34650364553,21,BvJlgZPO85
PYAIPAccwnsqmC,96811291,6,63970.840829641915,39,GGIrIOv66
FqCNoGwuDDNGlYRFUJ,7998620392,2,26361.74124351052,26,bAOMWiFGH6
ptFZKmoBsQFCgByb,70517693,4,349942.9464505393,28,BYXXHwFpM84
gjuNSCFBKsEyJbhqEms,497410994,7,185650.8745832491,40,FjVnY90
hfsQubJceFuJgg,6442115095,1,4964.099567626384,29,vlHhoYt44
dmOUnGLfAnhU,54213296,4,286612.54690090154,31,cIKEVnW76
TwYMLcLbmNkM,1574797,3,135375.27329789894,67,loKMUM15
RKrgjKEUMbRtFpYZqd,8378049898,5,127704.96347098904,57,ncQfTdP68
GTOxzniEOmjJp,528394999,5,22490.3709094622,65,NcjIV35
