name,Population,Trend,Male_female_ratio,Birth_rate,Life_expectancy,Remarks
Oreamnos americanus,450553,94.98275432690227,557.5874268119559,95,61,uzGxtwVMUPqnPWNbvqN
Cercopithecus aethiops,885637,-13.110381126215785,409.8638645942134,674,95,NrBkROLAPGmarPgr
Papio cynocephalus,130590,-73.08322687353174,866.4526355767925,329,40,oNzWI
Butorides striatus,465578,53.4433987013135,502.2985564963872,486,52,PYVuPdVZzr
Gerbillus sp.,39301,-54.24891462460846,258.3846930032951,529,3,qKnEIWp
Hystrix cristata,181287,77.94602198986735,670.6312919394343,602,17,qjPZwFf
Lamprotornis superbus,91094,5.017539813601047,540.2539635114196,494,81,LDgxSuAdsVWiel
Amphibolurus barbatus,505731,-82.93333606876084,330.91021049153136,961,12,eJdvESvuydJvCkjMWdC
Equus burchelli,551086,1.9408019620586572,295.3845528283939,622,39,jrSEK
Canis lupus lycaon,980078,-0.25709556929196253,624.9941006974833,992,25,seMumzyTn
Mirounga angustirostris,47823,10.159232363266497,383.6855465092762,67,33,FVImveExGp
Iguana iguana,643939,51.75528156271213,711.384376056948,569,6,GowTtPWzFsq
Sus scrofa,686449,75.42246132269256,631.1991098085839,643,7,lsJTdDjsgrWjrIyE
Uraeginthus granatina,750398,3.6313371495365345,680.842918065213,92,99,QBDLIult
Lepilemur rufescens,227125,4.23663931739182,978.61412725023,572,0,FgBAdWwpfsTHBuR
Zenaida asiatica,810890,3.522743222241772,164.04325605640636,925,44,RoWmYDpzLwDnkhibjS
Nycticorax nycticorax,987253,59.98664845473539,518.8221894552862,226,31,cGGyxhEUc
Pseudalopex gymnocercus,977815,24.7665042879933,760.8764461747471,112,84,qyHEAqzBKtvTK
Pseudocheirus peregrinus,929077,-15.906018567989875,54.623413197742224,600,40,JUFtIiOCfiPLIIoxsoB
Zenaida galapagoensis,123537,-70.77450067067477,373.5817604185411,428,69,XFMVKHOIHZxaZ
Spizaetus coronatus,811941,40.08738138081799,311.0820675005792,834,23,ngFvHZBtC
Ovis ammon,966185,-66.25060277849728,306.12886576289156,187,55,zarantV
Macropus eugenii,359665,34.20389439214645,986.5472969859317,202,70,UTigBsDJd
Mellivora capensis,649886,70.78514792088609,204.74486445013505,562,90,kRnMUKzkPXSAUw
Catharacta skua,759573,-17.373624206220313,859.1058138836476,900,54,LLCpwGAfRGPA
Actophilornis africanus,849911,-72.68875106731076,768.0985795104784,42,83,ncyJmMLTUd
Antidorcas marsupialis,372947,-47.453650386211876,574.0159228224918,669,55,CrzXKOKGVnkj
Toxostoma curvirostre,361473,-5.094890657805436,58.44763501786643,996,47,hPgvNGgGKAvsjyQeuKo
Equus hemionus,595698,75.09834221873868,704.5852343051554,196,33,DJcbGWHkp
Felis concolor,776846,17.419497007351353,650.5613501837399,913,55,jqtrcSlDBVHM
Acrantophis madagascariensis,301688,86.05054106559066,544.8646429863094,304,11,EArxZVcQgqubmrkZnK
Petaurus norfolcensis,164188,3.8275881197709793,962.4804453557321,441,4,GOTjscMTdxYSVNqcM
Meles meles,380438,-7.797217535943773,714.545390864214,843,44,pyDSdLAhHVfxJ
Paradoxurus hermaphroditus,220552,-86.40040981597284,824.114866346714,683,84,OqFGNBdn
Streptopelia senegalensis,928520,19.830422945918187,854.7212155302457,558,31,xDRMZdlavYnCdj
Dendrocitta vagabunda,317123,-37.300081823092924,804.2790332259506,253,70,ZIcSQbW
Macaca radiata,65070,-57.6204992014663,29.387348702008985,603,53,YxWSXxvdIOstAYY
Salvadora hexalepis,644512,-62.02036630088479,865.0902020339057,932,77,MolRpbEmbAC
Bettongia penicillata,911874,15.10413069895904,468.18447232553683,961,50,eKBaCKQkbMRrPFw
Nyctanassa violacea,371942,-28.57576610308567,831.7631714847682,567,18,zCAHl
Manouria emys,280822,-8.848808326208086,951.7741436451747,781,60,qVssBqtLwc
Galictis vittata,58646,32.20175675781232,835.1865917473463,957,80,RrFwnwcueRHzr
Sula dactylatra,653140,56.204421546197096,311.2482886838567,810,91,ueMJDNYpktCtvnU
Ramphastos tucanus,587229,28.855104320324557,242.86453414443176,734,74,aDxhRtImp
Lama pacos,495362,-46.40326870193925,343.828568104101,131,40,LSHMwlIb
Bucorvus leadbeateri,759909,65.88766824709433,606.0500488185813,422,58,tEwdKpnyinpPjp
Aonyx capensis,51506,-38.57674952411871,456.3977653215995,141,12,JJFyjOYYSPRTQwjZVGw
Cordylus giganteus,54584,76.20876551881267,352.54591929127145,71,59,CvwxtLeVdrBzVL
Pytilia melba,341753,-59.2729474779168,930.7656676457958,929,12,ArULpzvOY
Phalaropus lobatus,363722,-34.20722646189458,326.03398077951675,458,94,UAATMwofdjSBXC
Mazama gouazoubira,339561,35.77336892472138,407.13061570547046,349,19,RXuorIiqik
Trichosurus vulpecula,227107,61.57218696464312,619.5129033775025,118,8,ZZOFtwwQFkSfmBdNZCs
Lemur catta,566411,95.41146204774736,919.7411141058411,994,35,gFqxtAVTvfpDuTa
Ara ararauna,451197,-30.217524522192434,385.9498752530913,89,43,NNuqs
Eremophila alpestris,342748,-55.64371619119146,473.21490437949444,351,86,YgXglDbdwMKGE
Paroaria gularis,551492,12.420373130725352,937.5460107836028,372,9,vWQxPCwT
Antilocapra americana,203692,-38.57768105673578,96.25108272066451,100,91,wahBeubbPQDzwOhjX
Felis silvestris lybica,428252,23.020490819787383,30.657218125901274,685,54,vIAKxIK
Tetracerus quadricornis,496906,-52.08143110703438,862.6658337740056,893,15,mPlUgfazcPqoAc
Chlidonias leucopterus,645955,-3.6577706355860045,937.5172412601478,570,61,CGjwGNlOdvVXC
Geochelone elegans,424329,66.37920266299716,245.0418828643489,993,34,GizCLmmadXzhhxnbW
Bubalus arnee,336502,31.921369077162154,250.55340153645943,563,17,uGEcBMhLPzyCQNe
Ciconia ciconia,565476,38.75331763438217,481.00160938706705,83,44,LnSYBJSJZRRtLozHv
Macropus fuliginosus,938863,-36.081645379663364,165.88075467421547,506,72,FoBKjoJBJdfPFQc
Ovibos moschatus,720438,90.28022968388899,346.32587872309807,550,95,BRuPaAsnoS
Egretta thula,26877,73.38954924093852,534.3695479557982,859,51,RLTHfLzFzDzOrfKFUKO
Limosa haemastica,347767,73.47630532158018,220.48417042365486,905,0,fMfTPpJC
Anastomus oscitans,764179,-98.547451524688,44.969129505821215,553,55,ZarCGvUaKGaQHK
Pteronura brasiliensis,126472,-24.363230451830248,876.6461452712784,117,52,ZvslSWeyvFIQDp
Bison bison,36318,-14.408975049602105,909.4749140629808,43,23,BvEFFPlzx
Spheniscus mendiculus,892489,-57.21117820721937,243.76520350551345,148,99,TishkSVNdCVAoOvi
Phasianus colchicus,112901,82.76893985810264,945.2688863758884,997,25,RzdaTlNXhnhSvNjdGzd
Corvus albicollis,788340,45.76415519162734,991.6830480514187,307,31,wfrniXgDjDt
Oxybelis fulgidus,555949,-83.03026000991089,968.7258464343932,952,66,zvSOAuKCluXt
Papio ursinus,719678,-87.04156689032554,336.6061332574025,251,58,zzlwnuiacylDg
Echimys chrysurus,229201,39.662951198725466,368.60899622957555,781,31,mVyOmYTxHjrUoOcSShp
Eumetopias jubatus,455844,56.8909332548634,113.02297459649535,365,36,cszPVxOGsSSMx
Laniarius ferrugineus,691605,-86.09700697100175,382.78712076520895,413,13,Ikckd
Microcebus murinus,797852,29.595934984862964,79.7437868712937,556,95,MQyGrT
Grus antigone,516653,-33.67672955746028,552.3919631111324,131,35,NQCCuBeOSDZzPQ
Genetta genetta,188288,74.0640701660117,967.1102610301639,497,6,xYwdOncGseQSp
Tadorna tadorna,1905,-76.12343657736169,211.2019382964835,98,41,kmTPlH
Sarcorhamphus papa,892101,-97.89819242974427,301.5985353125543,745,0,kPJTLHmTFdZx
Pavo cristatus,841290,43.27706180292674,586.4687970282641,99,16,oxRibfKyhFULFW
Uraeginthus bengalus,926134,88.93793782449094,28.34728800878561,687,92,qvLilHMHvNCYpgDeR
unavailable,660305,48.246335410980834,927.3864813562145,841,9,vqXrhBVmdAIMDRCiCL
Vulpes cinereoargenteus,538685,44.52373859548436,721.5586811783971,835,47,XKBWHj
Lamprotornis nitens,397287,7.16259975441065,418.6806433158493,714,94,gkpVfFVFadKuzaoVG
Spermophilus armatus,283017,-32.51948752423846,224.91460227091585,361,14,AIJIpwX
Francolinus coqui,107415,65.11612683345865,965.6000600085157,445,87,kkyxAWDWRLZHhdLjWEH
Coluber constrictor,705828,92.6667154574954,964.8961129647969,194,1,eOvJemjvGqtyVpwV
Capreolus capreolus,50655,18.308627318706414,378.03823181562126,523,74,CxGvOpnFjUCBHgbPq
Junonia genoveua,745306,-30.90593348938617,665.8877510980386,405,56,AdYRdwGT
Thylogale stigmatica,465581,-46.04327949681873,525.1081991420676,190,83,exHCmiYOkHbO
Gopherus agassizii,451581,72.86886305679516,974.7175428181823,927,95,ZdpHCAjk
Ara macao,11735,45.80795911728072,635.3950932558872,612,79,paTwLbiKQUUntfQX
Cervus elaphus,694553,-89.98788129505984,990.2637140433587,737,4,tdOqbOlpnKI
Halcyon smyrnesis,854149,-97.51362475961241,827.5624878752716,949,50,qCqneLQ
Canis aureus,587194,-63.44853628996372,112.89630505790282,237,89,PniFmFbHJFYh
Alopochen aegyptiacus,922752,42.33829597149267,820.6338379853345,732,11,cphroDYyw
